followers,following,post_count,has_profile_pic,bio_length,is_fake,follower_following_ratio
16,4049,2,0,1,1,0.003950617283950617
7,218,1,1,3,1,0.0319634703196347
17,3770,1,0,1,1,0.004508088040307611
147925,716,308,1,3,1,206.3110181311018
34,4436,0,0,1,1,0.007662835249042145
11511,2078,1817,1,1,0,5.536796536796537
15491,124,1403,0,3,0,123.928
128220,788,134,0,1,1,162.50950570342206
37,5859,1,1,1,1,0.006313993174061433
6,414,3,1,3,1,0.014457831325301205
80466,785,367,1,1,1,102.37404580152672
47715,266,718,0,1,1,178.7078651685393
14,423,2,0,1,1,0.0330188679245283
22,1541,2,1,1,1,0.014267185473411154
5,373,4,1,3,1,0.013368983957219251
149180,482,249,0,3,1,308.86128364389236
48057,828,235,1,1,1,57.96984318455971
15814,310,474,0,3,0,50.848874598070736
111042,1015,719,1,1,1,109.29330708661418
0,1285,1,1,1,1,0.0
37,4634,1,1,1,1,0.007982740021574973
4,482,1,0,1,1,0.008281573498964804
17,3987,0,0,1,1,0.004262788365095286
38595,136,400,0,1,1,281.7153284671533
13799,412,93,1,3,1,33.41162227602906
16254,844,454,0,1,1,19.235502958579882
47651,264,493,1,3,1,179.81509433962265
2,738,0,1,3,1,0.0027063599458728013
30,3751,0,0,1,1,0.007995735607675906
155453,407,447,0,1,1,381.0122549019608
14,3889,2,1,1,1,0.0035989717223650387
3,627,2,1,3,1,0.004777070063694267
32,861,1,1,1,1,0.037122969837587005
38346,558,240,0,1,1,68.59749552772809
6,632,1,0,3,1,0.009478672985781991
17,3880,2,1,1,1,0.004380314351971141
751,485,128,0,3,0,1.545267489711934
3,96,4,1,1,1,0.030927835051546393
160679,105,105,0,3,1,1515.8396226415093
7,563,3,1,3,1,0.012411347517730497
5,642,1,1,3,1,0.007776049766718507
19593,301,2434,1,1,0,64.87748344370861
99480,646,415,0,1,1,153.75579598145285
0,117,1,0,3,1,0.0
20,3008,2,1,1,1,0.006646726487205052
40,2256,0,1,1,1,0.017722640673460344
0,612,0,0,3,1,0.0
58561,1024,353,0,3,1,57.13268292682927
58266,130,357,1,1,1,444.77862595419845
6640,378,782,1,3,0,17.519788918205805
2626,1398,225,1,3,0,1.8770550393137955
10107,179,1334,1,3,0,56.15
16506,2196,399,0,1,0,7.512972234865726
11809,1934,754,1,3,0,6.102842377260982
155519,148,743,1,1,1,1043.751677852349
10638,1098,1392,0,1,0,9.679708826205642
2,1948,2,1,1,1,0.001026167265264238
4,567,2,1,1,1,0.007042253521126761
1,405,4,1,3,1,0.0024630541871921183
2678,78,406,1,3,0,33.89873417721519
4,21,4,0,1,1,0.18181818181818182
18,4221,2,1,1,1,0.004263382283278067
7,131,1,0,1,1,0.05303030303030303
1194,604,281,1,3,1,1.9735537190082644
5,5494,1,1,1,1,0.0009099181073703367
8037,1454,2232,0,3,0,5.5237113402061855
154700,723,601,1,1,1,213.67403314917127
11157,438,23,0,3,0,25.414578587699317
0,4739,2,0,1,1,0.0
5,766,4,1,1,1,0.00651890482398957
0,129,3,0,3,1,0.0
3,32,1,1,1,1,0.09090909090909091
2478,1313,1418,1,3,0,1.8858447488584476
11,3074,2,0,1,1,0.0035772357723577236
19940,60,1650,0,1,0,326.88524590163934
60659,551,641,0,1,1,109.88949275362319
32,6073,2,1,1,1,0.005268356931182087
2739,1642,319,1,3,0,1.6670724284844796
0,303,4,0,3,1,0.0
32552,924,84,0,1,1,35.19135135135135
7719,928,2510,1,3,0,8.308934337997847
4568,334,527,0,3,1,13.635820895522388
8249,1708,532,0,3,0,4.826799297834992
3,546,1,1,1,1,0.005484460694698354
1,387,2,1,1,1,0.002577319587628866
61316,691,484,0,3,1,88.60693641618496
24,1209,1,1,1,1,0.019834710743801654
137410,145,337,0,3,1,941.1643835616438
43470,389,465,0,1,1,111.46153846153847
2014,1142,221,0,1,0,1.7620297462817147
10553,1021,140,1,1,0,10.325831702544031
31,5259,2,1,1,1,0.005893536121673004
6293,421,604,0,3,0,14.912322274881516
9,5971,2,0,1,1,0.001507032819825854
2640,1253,1298,1,1,0,2.1052631578947367
143781,499,593,0,1,1,287.562
33104,123,225,1,3,1,266.96774193548384
29601,517,374,0,1,1,57.14478764478765
120474,774,101,1,1,1,155.45032258064515
15887,601,984,1,1,0,26.390365448504983
44,373,0,1,1,1,0.11764705882352941
2,3077,2,0,1,1,0.000649772579597141
7,52,2,1,3,1,0.1320754716981132
40,4741,1,1,1,1,0.008435259384226065
6,357,1,0,3,1,0.01675977653631285
6,587,1,0,1,1,0.01020408163265306
1312,1305,1042,0,1,0,1.004594180704441
0,722,0,1,3,1,0.0
3,100,3,0,3,1,0.0297029702970297
35,4229,0,0,1,1,0.008274231678486997
107178,521,493,1,1,1,205.32183908045977
7,328,1,1,1,1,0.02127659574468085
17,4657,1,1,1,1,0.0036496350364963502
10673,1240,157,1,3,0,8.600322320709106
8,1211,1,1,1,1,0.006600660066006601
22,2267,0,1,1,1,0.009700176366843033
14217,1824,45,0,3,0,7.79013698630137
25257,651,215,1,1,1,38.737730061349694
99352,72,13,0,1,1,1360.986301369863
5,426,0,1,3,1,0.0117096018735363
5283,427,345,1,3,1,12.343457943925234
23,2938,0,1,1,1,0.007825791085403199
32,5737,2,0,1,1,0.0055768560474032764
3,174,0,1,1,1,0.017142857142857144
31,5154,0,1,1,1,0.0060135790494665374
6,636,4,0,3,1,0.009419152276295133
125027,392,110,0,1,1,318.1348600508906
92972,228,331,1,3,1,405.9912663755459
17827,1596,1366,0,3,0,11.162805259862242
70151,621,95,1,1,1,112.78295819935691
10,3317,0,1,1,1,0.0030138637733574444
19,3762,2,1,1,1,0.005049162901939941
62381,130,183,1,1,1,476.19083969465646
14234,783,844,1,3,0,18.15561224489796
4377,1751,2265,1,1,0,2.4982876712328768
18,1150,1,1,1,1,0.015638575152041704
63365,681,56,1,3,1,92.91055718475073
38,2306,1,0,1,1,0.0164716081491114
3,242,0,1,1,1,0.012345679012345678
536,1508,2324,1,1,0,0.35520212060967526
13781,1512,525,0,3,0,9.108393919365499
13190,262,1874,1,3,0,50.152091254752854
4,579,2,1,3,1,0.006896551724137931
0,772,3,0,1,1,0.0
16273,752,5,0,3,1,21.610889774236387
1,518,4,1,3,1,0.0019267822736030828
2,184,1,0,1,1,0.010810810810810811
16606,2122,1884,1,1,0,7.821950070654734
14,799,1,0,1,1,0.0175
140217,643,14,0,3,1,217.72826086956522
6,771,4,0,3,1,0.007772020725388601
193,126,2551,0,1,0,1.5196850393700787
4,426,4,0,3,1,0.00936768149882904
6,32,2,0,1,1,0.18181818181818182
5,82,0,0,1,1,0.060240963855421686
20,5740,1,1,1,1,0.003483713638738896
11713,821,653,0,3,1,14.249391727493917
6646,2147,494,0,1,0,3.0940409683426444
6,467,4,1,1,1,0.01282051282051282
6,511,4,1,1,1,0.01171875
35,856,2,0,1,1,0.040840140023337225
41601,807,718,1,1,1,51.48638613861386
13,3550,1,1,1,1,0.0036609405801182764
48,838,0,0,1,1,0.057210965435041714
17,5865,1,0,1,1,0.002898056597340607
34,6639,1,1,1,1,0.0051204819277108436
94246,828,350,1,1,1,113.68636911942099
89600,246,133,1,3,1,362.753036437247
4,650,1,1,1,1,0.006144393241167435
35607,990,732,0,3,1,35.93037336024218
91097,785,534,0,1,1,115.89949109414758
56901,990,194,0,3,1,57.41775983854692
8,2465,2,1,1,1,0.0032441200324412004
18,6343,2,0,1,1,0.0028373266078184113
5,209,1,0,3,1,0.023809523809523808
20026,1935,504,0,3,0,10.34400826446281
19,1854,0,1,1,1,0.010242587601078167
38,3054,0,1,1,1,0.012438625204582651
1,370,4,1,3,1,0.0026954177897574125
130486,13,436,1,3,1,9320.42857142857
13722,2026,644,1,1,0,6.769610261470153
70835,793,132,1,1,1,89.21284634760706
128979,166,413,1,1,1,772.3293413173652
100223,459,434,0,1,1,217.87608695652173
43,5880,0,1,1,1,0.007311681686787961
7344,1369,538,0,3,0,5.36058394160584
47,4705,2,0,1,1,0.00998725031874203
32950,798,252,1,1,1,41.23904881101377
26,1036,2,0,1,1,0.02507232401157184
6,110,1,1,3,1,0.05405405405405406
23,777,2,0,1,1,0.02956298200514139
4,727,1,1,1,1,0.005494505494505495
13,1232,2,1,1,1,0.010543390105433901
1,5816,2,1,1,1,0.00017190991920233798
3434,1675,113,0,1,0,2.048926014319809
21761,906,2645,0,3,0,23.992282249173098
2027,1400,2583,0,1,0,1.4468236973590292
56766,1061,592,1,1,1,53.451977401129945
15978,429,284,1,3,0,37.15813953488372
2,509,2,1,3,1,0.00392156862745098
33175,863,337,0,3,1,38.39699074074074
80371,836,284,0,1,1,96.02270011947431
18058,254,1163,1,3,0,70.8156862745098
17,4356,1,0,1,1,0.0039017672710580675
66973,235,479,0,3,1,283.78389830508473
0,337,0,0,3,1,0.0
159793,1052,471,0,3,1,151.75023741690407
5,231,4,1,3,1,0.021551724137931036
16453,224,600,1,3,0,73.12444444444445
5727,986,2245,1,3,0,5.802431610942249
40,3112,2,1,1,1,0.012849341471249599
4,332,0,0,3,1,0.012012012012012012
18,876,0,1,1,1,0.020524515393386546
42077,880,327,1,3,1,47.760499432463114
26,3823,0,1,1,1,0.006799163179916318
11958,922,355,1,3,0,12.95557963163597
11267,1309,2463,1,1,0,8.600763358778625
5943,1904,652,0,3,0,3.119685039370079
6,206,4,1,1,1,0.028985507246376812
12462,1656,441,1,3,0,7.5208207604103805
158398,990,713,1,1,1,159.83652875882947
5310,2078,2660,1,1,0,2.554112554112554
0,566,4,1,1,1,0.0
3,6432,0,1,1,1,0.000466345406497746
11887,613,1406,1,3,0,19.359934853420196
12429,363,696,0,3,0,34.145604395604394
18263,2086,2510,1,1,0,8.750838524197412
3,128,2,0,3,1,0.023255813953488372
5,449,4,0,3,1,0.011111111111111112
10752,2040,1540,1,3,0,5.268005879470848
38980,195,149,1,3,1,198.87755102040816
32,5228,2,1,1,1,0.006119716963090457
6127,102,50,0,3,0,59.48543689320388
113580,623,30,0,3,1,182.01923076923077
144305,1041,140,0,3,1,138.48848368522073
6595,2140,864,1,3,0,3.0803362914525922
105988,941,368,1,3,1,112.51380042462846
7,251,4,1,1,1,0.027777777777777776
20,3213,0,0,1,1,0.006222775357809583
7326,405,133,0,3,0,18.04433497536946
65314,343,575,1,1,1,189.86627906976744
2,615,4,1,1,1,0.003246753246753247
0,4664,2,0,1,1,0.0
20,3567,1,0,1,1,0.005605381165919282
1849,51,494,0,3,0,35.55769230769231
22860,735,211,0,3,1,31.059782608695652
3,5989,0,1,1,1,0.0005008347245409015
5,2206,2,1,1,1,0.0022655188038060714
1,686,3,0,3,1,0.001455604075691412
0,461,2,0,1,1,0.0
7,91,3,1,3,1,0.07608695652173914
37,2708,0,1,1,1,0.013658176448874123
46853,911,32,0,1,1,51.37390350877193
3412,129,586,1,3,1,26.246153846153845
8581,167,383,0,3,0,51.07738095238095
4,334,3,1,1,1,0.011940298507462687
13385,948,1211,0,3,0,14.10432033719705
4292,1276,1118,1,3,0,3.361002349256069
2518,1017,369,0,3,0,2.4734774066797645
4,141,2,1,1,1,0.028169014084507043
3,396,1,1,1,1,0.007556675062972292
10699,1640,958,1,3,0,6.519804996953077
3,522,4,1,3,1,0.0057361376673040155
5,359,1,1,1,1,0.013888888888888888
17915,22,1927,0,3,0,778.9130434782609
137925,181,407,0,1,1,757.8296703296703
47791,683,593,0,3,1,69.86988304093568
52214,46,715,1,1,1,1110.936170212766
12,2277,0,0,1,1,0.0052677787532923615
7,686,2,0,1,1,0.010189228529839884
36110,629,88,0,3,1,57.317460317460316
145260,1060,697,0,1,1,136.9085768143261
63607,988,467,0,1,1,64.314459049545
6,3581,2,1,1,1,0.0016750418760469012
18043,344,887,1,3,0,52.29855072463768
61073,763,626,0,1,1,79.93848167539267
67790,1036,180,1,1,1,65.37126325940213
0,347,4,1,1,1,0.0
11946,580,674,1,3,0,20.561101549053355
42603,173,420,1,1,1,244.8448275862069
18318,1144,871,0,3,0,15.998253275109171
45853,192,527,1,1,1,237.58031088082902
71327,558,392,1,3,1,127.59749552772809
30,2408,0,1,1,1,0.012453300124533
18443,1994,688,0,3,0,9.244611528822055
19364,873,1372,1,3,0,22.155606407322654
3,189,4,1,1,1,0.015789473684210527
6,548,4,1,1,1,0.01092896174863388
7,4097,1,0,1,1,0.001708150317227916
7,663,3,1,1,1,0.010542168674698794
9076,2030,1164,0,1,0,4.468734613490891
3,98,0,1,1,1,0.030303030303030304
2040,468,2112,1,1,0,4.349680170575693
35,2599,1,0,1,1,0.013461538461538462
30865,163,444,0,1,1,188.2012195121951
30,1832,1,1,1,1,0.016366612111292964
1,509,1,0,1,1,0.00196078431372549
12524,478,551,1,1,1,26.146137787056368
5,133,1,0,3,1,0.03731343283582089
17946,170,1124,1,3,0,104.94736842105263
131243,276,687,0,3,1,473.8014440433213
1,34,3,1,1,1,0.02857142857142857
21,1463,1,0,1,1,0.014344262295081968
115330,904,94,1,3,1,127.43646408839778
38,5072,2,1,1,1,0.00749063670411985
2,360,4,0,1,1,0.00554016620498615
7,3866,2,0,1,1,0.0018101887768295836
16972,684,1691,1,1,0,24.77664233576642
86525,225,88,0,1,1,382.853982300885
10139,2104,346,1,3,0,4.816627078384798
2,13,0,0,1,1,0.14285714285714285
20229,1340,2313,0,3,0,15.085011185682326
15357,244,2368,0,3,0,62.68163265306122
58106,449,323,0,3,1,129.12444444444444
6656,438,413,0,3,0,15.161731207289295
126958,45,672,0,3,1,2759.9565217391305
16704,1413,2142,0,3,0,11.813295615275813
6420,591,240,0,1,0,10.844594594594595
33,1018,0,1,1,1,0.0323846908734053
13,1620,2,0,1,1,0.008019740900678593
13140,1597,2299,0,3,0,8.222778473091363
36,966,0,1,1,1,0.03722854188210962
2,756,3,1,1,1,0.002642007926023778
37,971,0,0,1,1,0.03806584362139918
12233,230,1545,1,1,0,52.95670995670996
133711,801,185,1,1,1,166.72194513715712
5,734,0,1,3,1,0.006802721088435374
108839,624,742,1,3,1,174.1424
2,50,2,0,3,1,0.0392156862745098
3,505,3,0,1,1,0.005928853754940711
35,3592,1,0,1,1,0.009741163373225717
14668,1964,2436,0,3,0,7.464631043256998
14978,992,1575,1,3,0,15.083585095669688
22855,51,249,1,3,1,439.5192307692308
33,3418,2,0,1,1,0.009651945013161743
141391,809,391,0,3,1,174.55679012345678
81146,318,267,1,1,1,254.37617554858934
14642,581,754,1,3,0,25.15807560137457
91899,601,631,0,1,1,152.656146179402
6,586,4,0,1,1,0.010221465076660987
12752,1979,286,0,3,0,6.44040404040404
0,282,0,0,1,1,0.0
48,5029,1,0,1,1,0.009542743538767396
20378,776,329,1,3,1,26.226512226512227
104832,787,342,0,3,1,133.03553299492387
10243,759,293,0,1,0,13.477631578947369
3,375,3,0,1,1,0.007978723404255319
45,1910,2,0,1,1,0.023547880690737835
15932,1210,609,1,1,0,13.15606936416185
10,3484,0,0,1,1,0.0028694404591104736
82518,712,168,0,1,1,115.73352033660589
22,5104,2,1,1,1,0.004309500489715965
8291,750,784,0,1,0,11.039946737683088
5,252,0,1,3,1,0.019762845849802372
10,5877,1,1,1,1,0.001701258931609391
6,5320,2,1,1,1,0.0011276075925577898
94029,89,104,0,1,1,1044.7666666666667
2,4454,0,1,1,1,0.0004489337822671156
19564,1933,406,1,3,0,10.115822130299897
11098,415,644,0,1,1,26.677884615384617
146948,999,349,0,3,1,146.948
4,648,1,0,3,1,0.0061633281972265025
13407,513,245,0,3,0,26.08365758754864
148281,418,270,1,3,1,353.8926014319809
138525,779,332,0,1,1,177.59615384615384
64763,893,548,1,3,1,72.44183445190157
46,5836,0,1,1,1,0.00788076066472503
2,608,0,1,1,1,0.003284072249589491
128818,24,168,0,3,1,5152.72
6,2929,2,1,1,1,0.0020477815699658703
11,5249,1,1,1,1,0.0020952380952380953
107023,326,276,0,3,1,327.28746177370033
5715,1791,466,1,3,0,3.189174107142857
31,2505,2,0,1,1,0.012370311252992818
17694,923,1656,0,1,0,19.149350649350648
45358,365,455,1,1,1,123.92896174863388
17,898,0,1,1,1,0.018909899888765295
0,84,1,0,3,1,0.0
24,4679,1,1,1,1,0.005128205128205128
157146,283,550,0,1,1,553.330985915493
26,2062,1,1,1,1,0.012603005332040717
18480,465,7,1,3,0,39.65665236051502
5809,690,2080,1,3,0,8.406657018813315
23120,715,186,0,3,1,32.29050279329609
20684,2102,692,1,3,0,9.83547313361864
72866,65,195,0,1,1,1104.030303030303
10,4291,0,1,1,1,0.002329916123019571
6458,310,2664,1,1,0,20.765273311897108
51398,336,320,1,1,1,152.51632047477744
5383,1077,1279,1,1,0,4.9935064935064934
19,1549,1,1,1,1,0.012258064516129033
40,5976,1,1,1,1,0.0066923205621549275
36300,945,187,0,1,1,38.372093023255815
25,1453,0,0,1,1,0.0171939477303989
107177,98,114,0,1,1,1082.5959595959596
17274,659,2146,1,1,0,26.172727272727272
3700,10,113,1,3,1,336.3636363636364
12074,1297,1574,1,3,0,9.302003081664099
2683,1751,2601,1,3,0,1.5313926940639269
158722,798,44,0,1,1,198.6508135168961
15197,1858,1504,1,3,0,8.174825174825175
30,6385,1,0,1,1,0.004697776385844034
42,3933,0,1,1,1,0.010676156583629894
22,2525,0,1,1,1,0.00870942201108472
40370,248,464,1,3,1,162.1285140562249
109045,750,717,1,3,1,145.19973368841545
19,2871,1,0,1,1,0.006615598885793872
112808,822,596,0,1,1,137.0692588092345
4,162,1,0,3,1,0.024539877300613498
43,3444,0,1,1,1,0.012481857764876633
32,6653,2,0,1,1,0.004809137360985873
1848,2107,137,1,3,0,0.8766603415559773
10118,792,165,0,3,0,12.759142496847415
973,1793,308,1,1,0,0.5423634336677815
133174,804,688,0,1,1,165.43354037267082
11721,249,1076,1,1,0,46.884
17161,1214,256,0,1,0,14.124279835390947
159264,583,92,0,1,1,272.71232876712327
26,3696,0,1,1,1,0.007032729239924263
0,5470,2,0,1,1,0.0
7188,701,946,0,3,0,10.239316239316238
23322,625,469,0,3,1,37.2555910543131
17052,946,1113,1,3,0,18.006335797254486
71118,80,537,0,1,1,878.0
23816,666,253,0,1,1,35.70614692653673
