profile_pic,username_digit_ratio,fullname_digit_ratio,bio_length,followers_count,following_count,posts_count,account_age_days,posting_frequency,followers_following_ratio,is_fake
0,0.464,0.405,10,22,1025,5,37,0.135,0.021,0
0,0.54,0.157,20,1,1375,6,97,0.062,0.001,1
0,0.505,0.248,10,49,4856,2,14,0.143,0.01,1
1,0.075,0.001,40,2529,553,727,2101,0.346,4.573,0
1,0.044,0.005,126,4497,216,403,2125,0.19,20.819,0
1,0.068,0.012,97,2826,146,275,1983,0.139,19.356,0
1,0.333,0.182,6,49,1562,8,75,0.107,0.031,1
1,0.001,0.015,52,1358,489,595,3247,0.183,2.777,0
1,0.056,0.013,75,890,506,932,3404,0.274,1.759,0
0,0.311,0.468,10,36,2758,12,107,0.112,0.013,0
1,0.543,0.486,5,39,2884,11,23,0.478,0.014,1
0,0.364,0.274,12,33,1322,12,80,0.15,0.025,1
1,0.022,0.016,39,4481,748,166,2538,0.065,5.991,0
0,0.844,0.24,20,9,1967,3,38,0.079,0.005,1
0,0.404,0.161,20,4,1725,15,119,0.126,0.002,1
0,0.756,0.28,18,41,3602,10,81,0.123,0.011,1
0,0.341,0.277,9,50,2125,1,91,0.011,0.024,1
1,0.031,0.009,37,3320,951,343,679,0.505,3.491,0
0,0.886,0.136,19,32,2574,14,149,0.094,0.012,1
0,0.775,0.458,14,36,3669,6,83,0.072,0.01,1
1,0.05,0.019,87,1147,930,970,3794,0.256,1.233,0
0,0.729,0.302,5,2,2014,14,113,0.124,0.001,1
1,0.666,0.246,9,24,2674,10,14,0.714,0.009,1
1,0.688,0.126,3,35,3778,12,73,0.164,0.009,1
1,0.085,0.019,107,1531,441,133,2751,0.048,3.472,0
1,0.092,0.006,113,3510,232,659,3268,0.202,15.129,0
0,0.486,0.251,10,8,3744,2,109,0.018,0.002,1
1,0.002,0.006,57,3099,884,547,1151,0.475,3.506,0
1,0.383,0.131,3,32,4157,1,87,0.011,0.008,1
1,0.671,0.339,4,10,1740,5,113,0.044,0.006,1
1,0.519,0.388,14,39,2167,14,60,0.233,0.018,0
1,0.031,0.016,90,1889,476,744,2701,0.275,3.968,0
0,0.577,0.213,12,32,3160,13,42,0.31,0.01,1
1,0.08,0.003,62,727,756,542,3945,0.137,0.962,0
1,0.861,0.385,16,7,2167,2,42,0.048,0.003,1
1,0.091,0.003,85,1051,327,886,2212,0.401,3.214,0
1,0.093,0.008,80,4412,482,291,1946,0.15,9.154,0
1,0.037,0.001,149,1111,959,781,3027,0.258,1.158,0
0,0.388,0.115,15,44,4404,4,121,0.033,0.01,1
0,0.303,0.132,8,13,4420,4,141,0.028,0.003,1
1,0.061,0.008,129,2660,343,358,864,0.414,7.755,0
1,0.042,0.016,88,814,213,906,2412,0.376,3.822,1
0,0.31,0.306,7,45,1588,9,110,0.082,0.028,1
1,0.035,0.011,53,1001,636,419,642,0.653,1.574,1
1,0.054,0.016,94,4839,120,449,3942,0.114,40.325,0
0,0.681,0.492,8,47,1066,11,18,0.611,0.044,1
0,0.74,0.351,18,47,4099,10,35,0.286,0.011,1
1,0.055,0.016,52,4106,812,540,2952,0.183,5.057,1
1,0.013,0.014,150,4049,137,350,1190,0.294,29.555,0
0,0.02,0.001,149,2840,627,457,3704,0.123,4.53,1
1,0.025,0.015,54,2643,465,932,3563,0.262,5.684,0
1,0.066,0.005,132,3314,547,960,2003,0.479,6.059,1
1,0.089,0.008,53,4364,808,559,1869,0.299,5.401,0
1,0.052,0.016,123,3777,180,490,2832,0.173,20.983,0
1,0.018,0.006,43,955,435,726,1575,0.461,2.195,0
1,0.662,0.27,14,22,2831,1,91,0.011,0.008,1
0,0.561,0.356,1,4,3749,12,94,0.128,0.001,1
1,0.075,0.003,33,1469,969,672,3142,0.214,1.516,0
1,0.003,0.001,129,3300,470,442,2688,0.164,7.021,0
0,0.392,0.28,11,23,2818,2,147,0.014,0.008,0
1,0.037,0.006,65,2344,216,76,3378,0.022,10.852,0
1,0.611,0.465,3,16,4174,8,115,0.07,0.004,1
0,0.667,0.378,15,12,1502,4,19,0.211,0.008,1
0,0.839,0.278,2,43,4963,10,89,0.112,0.009,1
0,0.63,0.216,9,10,3915,5,93,0.054,0.003,1
0,0.373,0.18,4,15,4237,15,7,2.143,0.004,1
1,0.057,0.009,100,1363,726,955,718,1.33,1.877,0
1,0.04,0.014,91,4606,520,837,2042,0.41,8.858,0
0,0.344,0.489,20,4,2843,14,133,0.105,0.001,1
1,0.088,0.016,111,1790,886,182,2137,0.085,2.02,0
1,0.087,0.017,96,1553,411,218,1028,0.212,3.779,0
1,0.071,0.007,150,4550,390,916,688,1.331,11.667,0
0,0.681,0.32,4,40,2240,2,129,0.016,0.018,1
1,0.059,0.012,51,3065,962,996,2673,0.373,3.186,0
0,0.818,0.132,20,49,3362,8,54,0.148,0.015,0
0,0.55,0.356,15,40,3234,9,78,0.115,0.012,1
0,0.783,0.374,9,29,1298,1,41,0.024,0.022,1
0,0.591,0.182,19,9,2280,10,89,0.112,0.004,1
1,0.013,0.007,101,1169,426,297,2275,0.131,2.744,0
1,0.045,0.003,36,2677,493,934,2885,0.324,5.43,0
1,0.096,0.018,134,2982,691,788,1645,0.479,4.315,0
0,0.396,0.498,14,31,4600,9,128,0.07,0.007,1
0,0.867,0.302,7,13,3389,11,13,0.846,0.004,0
1,0.049,0.018,113,4155,392,599,398,1.505,10.599,1
1,0.559,0.453,11,48,2651,11,12,0.917,0.018,1
1,0.057,0.004,100,2664,175,445,2430,0.183,15.223,0
0,0.63,0.43,19,43,3502,3,33,0.091,0.012,1
1,0.039,0.016,73,4869,474,823,955,0.862,10.272,0
1,0.051,0.01,35,618,240,780,1729,0.451,2.575,0
1,0.052,0.003,144,4523,243,385,2876,0.134,18.613,0
1,0.039,0.012,137,2751,707,394,2442,0.161,3.891,0
1,0.053,0.014,68,4190,935,67,1873,0.036,4.481,0
1,0.366,0.267,9,50,4681,0,122,0.0,0.011,1
0,0.693,0.489,18,36,1932,1,150,0.007,0.019,1
1,0.052,0.014,129,3414,251,891,3153,0.283,13.602,0
1,0.057,0.014,54,455,551,371,2080,0.178,0.826,0
0,0.714,0.264,19,30,4575,1,36,0.028,0.007,1
1,0.056,0.02,91,4604,485,371,1074,0.345,9.493,0
1,0.053,0.011,116,2465,724,545,1152,0.473,3.405,0
0,0.467,0.219,9,49,2183,6,126,0.048,0.022,1
0,0.509,0.473,8,18,1499,12,102,0.118,0.012,1
1,0.095,0.016,67,644,394,781,688,1.135,1.635,0
1,0.044,0.005,91,2052,306,897,2571,0.349,6.706,0
1,0.056,0.005,43,2260,348,101,3108,0.032,6.494,0
1,0.023,0.005,42,3685,438,784,2299,0.341,8.413,0
1,0.077,0.0,100,1593,516,718,3972,0.181,3.087,0
1,0.048,0.004,66,2931,392,711,607,1.171,7.477,0
1,0.354,0.33,17,47,3961,1,45,0.022,0.012,1
0,0.803,0.474,1,25,4227,15,48,0.312,0.006,1
1,0.096,0.019,142,606,109,355,2691,0.132,5.56,0
1,0.093,0.007,88,4750,636,555,914,0.607,7.469,0
1,0.581,0.177,3,21,1665,14,66,0.212,0.013,1
1,0.001,0.007,67,4951,790,825,1156,0.714,6.267,0
1,0.814,0.459,13,32,2343,2,103,0.019,0.014,1
0,0.411,0.156,10,15,1027,8,99,0.081,0.015,1
1,0.075,0.019,68,4993,111,317,3042,0.104,44.982,0
1,0.024,0.013,89,2813,263,465,3175,0.146,10.696,0
0,0.837,0.381,9,44,1480,9,95,0.095,0.03,1
1,0.022,0.003,49,4027,865,670,1895,0.354,4.655,0
1,0.055,0.009,98,2089,880,303,3151,0.096,2.374,0
1,0.087,0.002,87,4626,820,420,684,0.614,5.641,0
0,0.367,0.432,16,12,3345,4,43,0.093,0.004,1
0,0.052,0.002,56,4304,193,970,2455,0.395,22.301,0
0,0.333,0.153,13,29,3309,1,144,0.007,0.009,1
0,0.784,0.389,12,16,4344,0,56,0.0,0.004,1
1,0.005,0.007,38,4733,161,965,647,1.491,29.398,0
1,0.047,0.006,53,1409,884,706,3352,0.211,1.594,0
0,0.552,0.497,12,28,4561,12,97,0.124,0.006,1
0,0.878,0.45,4,41,4523,11,31,0.355,0.009,1
1,0.054,0.011,123,2124,954,53,3462,0.015,2.226,0
1,0.03,0.013,99,3774,644,438,3737,0.117,5.86,1
1,0.576,0.162,6,46,4135,3,9,0.333,0.011,1
1,0.042,0.015,143,428,346,261,640,0.408,1.237,0
1,0.003,0.012,120,698,350,808,546,1.48,1.994,0
1,0.441,0.187,1,8,3063,9,60,0.15,0.003,1
1,0.073,0.006,106,2926,342,359,3954,0.091,8.556,0
1,0.066,0.004,68,2554,162,620,2788,0.222,15.765,0
0,0.847,0.35,13,35,3030,1,89,0.011,0.012,1
0,0.703,0.414,10,44,2705,13,39,0.333,0.016,1
0,0.41,0.315,7,14,2231,4,119,0.034,0.006,1
1,0.056,0.019,101,4641,237,447,1359,0.329,19.582,0
1,0.498,0.132,14,23,1378,6,14,0.429,0.017,1
0,0.704,0.341,2,12,4295,6,123,0.049,0.003,1
1,0.091,0.006,146,425,316,244,3402,0.072,1.345,0
1,0.1,0.01,61,1975,506,987,1345,0.734,3.903,0
1,0.078,0.008,98,3243,415,317,1838,0.172,7.814,0
1,0.05,0.002,122,4146,879,909,1676,0.542,4.717,0
1,0.037,0.008,102,2112,859,199,431,0.462,2.459,0
1,0.093,0.012,83,2718,256,250,1716,0.146,10.617,0
1,0.057,0.005,100,3065,363,831,3730,0.223,8.444,0
1,0.734,0.396,14,10,4001,11,44,0.25,0.002,1
0,0.628,0.174,17,41,4920,1,135,0.007,0.008,1
1,0.085,0.019,115,697,882,56,2054,0.027,0.79,1
0,0.678,0.127,4,0,1895,14,96,0.146,0.0,1
0,0.683,0.474,15,42,2998,0,2,0.0,0.014,1
0,0.547,0.107,8,34,2174,0,129,0.0,0.016,1
0,0.704,0.422,5,6,4760,3,135,0.022,0.001,1
1,0.019,0.011,134,3203,373,864,1990,0.434,8.587,0
1,0.096,0.009,61,2150,407,750,3756,0.2,5.283,0
1,0.065,0.017,127,559,195,465,1918,0.242,2.867,0
1,0.048,0.013,119,1703,184,561,3827,0.147,9.255,0
0,0.771,0.326,3,33,4764,1,59,0.017,0.007,1
1,0.087,0.018,90,2520,147,996,669,1.489,17.143,0
1,0.028,0.011,114,569,283,920,1653,0.557,2.011,0
1,0.424,0.158,12,4,2225,5,145,0.034,0.002,0
1,0.083,0.008,144,4728,439,443,3459,0.128,10.77,0
1,0.774,0.376,2,32,4053,11,14,0.786,0.008,1
0,0.439,0.13,19,49,3514,12,84,0.143,0.014,1
0,0.464,0.497,15,14,2457,12,111,0.108,0.006,0
1,0.059,0.008,128,2719,917,302,3285,0.092,2.965,0
1,0.461,0.252,20,9,4029,12,82,0.146,0.002,1
1,0.009,0.019,86,3248,879,326,783,0.416,3.695,0
0,0.412,0.28,17,32,2671,3,7,0.429,0.012,1
1,0.633,0.339,10,24,1050,9,106,0.085,0.023,1
1,0.008,0.018,145,2288,685,583,1059,0.551,3.34,0
0,0.402,0.208,8,31,1597,2,43,0.047,0.019,1
1,0.042,0.01,39,3258,357,302,3317,0.091,9.126,0
0,0.656,0.178,3,8,2247,0,102,0.0,0.004,1
1,0.672,0.422,10,28,2371,13,35,0.371,0.012,1
1,0.06,0.014,91,2873,281,457,1672,0.273,10.224,0
1,0.069,0.01,103,2285,433,435,1513,0.288,5.277,0
1,0.039,0.002,102,1936,706,608,1101,0.552,2.742,0
1,0.63,0.481,14,45,1858,14,75,0.187,0.024,1
1,0.007,0.017,131,3651,789,561,935,0.6,4.627,0
1,0.024,0.013,121,3766,908,436,667,0.654,4.148,0
1,0.06,0.012,98,4450,990,758,2078,0.365,4.495,0
0,0.774,0.244,17,38,3613,2,28,0.071,0.011,1
1,0.066,0.007,112,662,676,710,3139,0.226,0.979,0
0,0.88,0.233,13,6,1043,3,67,0.045,0.006,1
0,0.748,0.323,18,14,2825,11,101,0.109,0.005,1
0,0.708,0.376,4,22,1100,15,27,0.556,0.02,1
1,0.852,0.134,4,22,2277,10,117,0.085,0.01,1
1,0.613,0.239,3,28,3957,14,82,0.171,0.007,1
1,0.327,0.384,0,21,3654,3,43,0.07,0.006,1
1,0.744,0.306,17,10,2355,13,119,0.109,0.004,1
1,0.041,0.004,111,3840,505,79,3385,0.023,7.604,0
1,0.02,0.012,79,336,821,269,1207,0.223,0.409,0
1,0.07,0.016,103,1133,918,942,2564,0.367,1.234,0
1,0.496,0.283,8,42,4533,15,136,0.11,0.009,1
1,0.031,0.008,80,1235,456,410,3828,0.107,2.708,0
0,0.404,0.369,9,39,3417,2,35,0.057,0.011,1
0,0.443,0.147,11,44,1579,12,108,0.111,0.028,1
0,0.645,0.269,15,40,3201,5,143,0.035,0.012,1
1,0.029,0.004,137,3994,734,104,3910,0.027,5.441,0
0,0.306,0.155,12,35,3070,15,105,0.143,0.011,1
0,0.549,0.436,15,10,1338,0,57,0.0,0.007,1
1,0.027,0.011,51,4046,679,810,3529,0.23,5.959,0
1,0.055,0.002,44,2494,893,606,3737,0.162,2.793,0
1,0.054,0.015,127,3915,659,273,2106,0.13,5.941,0
0,0.798,0.401,9,2,2842,8,90,0.089,0.001,1
1,0.009,0.017,45,2241,314,880,3386,0.26,7.137,0
0,0.51,0.384,20,27,1679,4,53,0.075,0.016,1
0,0.081,0.011,98,2602,711,601,1054,0.57,3.66,0
1,0.07,0.006,64,4514,795,884,755,1.171,5.678,0
0,0.75,0.265,1,17,4551,4,34,0.118,0.004,1
0,0.727,0.431,12,31,1582,8,107,0.075,0.02,1
1,0.008,0.016,128,1062,512,577,3436,0.168,2.074,0
1,0.094,0.007,92,2981,695,52,3924,0.013,4.289,0
1,0.073,0.015,88,3234,970,114,3624,0.031,3.334,0
0,0.431,0.272,6,31,2099,10,73,0.137,0.015,1
0,0.647,0.326,15,50,2407,1,12,0.083,0.021,1
1,0.078,0.009,45,1594,551,517,367,1.409,2.893,0
1,0.043,0.02,146,1380,765,359,1016,0.353,1.804,0
0,0.826,0.137,11,16,1337,11,43,0.256,0.012,1
0,0.675,0.39,7,27,3684,2,25,0.08,0.007,0
0,0.586,0.153,7,33,3785,14,3,4.667,0.009,0
1,0.034,0.002,140,3759,810,185,2321,0.08,4.641,1
1,0.038,0.015,43,1145,420,426,3973,0.107,2.726,0
1,0.038,0.016,141,1390,756,743,950,0.782,1.839,0
1,0.638,0.344,5,28,2438,6,39,0.154,0.011,1
1,0.062,0.009,57,1010,202,193,3447,0.056,5.0,0
1,0.073,0.007,84,2876,910,193,1379,0.14,3.16,0
1,0.351,0.321,19,46,3488,9,7,1.286,0.013,1
1,0.066,0.006,96,4474,293,815,1969,0.414,15.27,0
1,0.333,0.459,7,31,2580,3,62,0.048,0.012,1
1,0.059,0.011,31,3258,424,185,1949,0.095,7.684,0
1,0.057,0.007,117,1715,881,532,3520,0.151,1.947,0
1,0.059,0.0,57,626,161,858,1995,0.43,3.888,0
1,0.063,0.01,83,3769,818,461,702,0.657,4.608,0
1,0.054,0.003,40,2838,180,573,1197,0.479,15.767,0
0,0.393,0.231,18,40,4126,2,80,0.025,0.01,1
1,0.738,0.439,1,15,1353,13,30,0.433,0.011,1
0,0.665,0.224,5,7,1051,4,3,1.333,0.007,1
1,0.095,0.01,130,2423,270,430,884,0.486,8.974,0
1,0.087,0.015,45,540,443,876,2123,0.413,1.219,0
1,0.006,0.014,103,931,608,516,2457,0.21,1.531,0
1,0.05,0.011,77,1588,361,841,786,1.07,4.399,0
1,0.067,0.002,124,4468,102,95,3882,0.024,43.804,0
0,0.447,0.289,12,9,1733,1,142,0.007,0.005,1
1,0.071,0.013,58,2936,354,476,3315,0.144,8.294,0
0,0.796,0.329,3,32,3757,1,46,0.022,0.009,1
1,0.052,0.001,81,864,998,526,3912,0.134,0.866,0
1,0.084,0.007,100,4041,108,427,1186,0.36,37.417,0
1,0.078,0.015,61,4100,477,655,2385,0.275,8.595,0
0,0.766,0.393,17,48,4260,7,39,0.179,0.011,1
0,0.546,0.193,11,40,4438,0,86,0.0,0.009,0
0,0.694,0.44,9,6,1840,7,108,0.065,0.003,0
1,0.006,0.02,121,2592,195,94,1313,0.072,13.292,0
0,0.612,0.38,11,29,4991,2,149,0.013,0.006,1
1,0.013,0.016,39,4951,163,495,3078,0.161,30.374,0
1,0.024,0.005,70,3519,817,901,3377,0.267,4.307,0
1,0.045,0.005,150,1960,239,848,3519,0.241,8.201,0
0,0.393,0.166,14,20,2665,3,138,0.022,0.008,1
1,0.762,0.281,14,16,4491,3,24,0.125,0.004,1
0,0.712,0.431,19,2,1880,10,38,0.263,0.001,1
0,0.449,0.242,16,3,3773,9,67,0.134,0.001,1
